Age,Gender,2010,2015,2020,2025
20,Men,0.9875,1,1,0.992
21,Men,0.9955,1,1,0.998
22,Men,0.9995,1,1,1
23,Men,1,1,1,1
24,Men,1,1,1,1
25,Men,1,1,1,1
26,Men,1,1,1,1
27,Men,1,1,1,1
28,Men,1,1,1,1
29,Men,1,1,1,1
30,Men,1,1,1,1
31,Men,1,1,1,1
32,Men,1,0.9998,0.9998,1
33,Men,1,0.9989,0.9988,1
34,Men,1,0.9973,0.9971,1
35,Men,1,0.995,0.9945,1
36,Men,0.999,0.992,0.9911,0.9999
37,Men,0.996,0.9882,0.987,0.9979
38,Men,0.991,0.9837,0.982,0.9934
39,Men,0.984,0.9784,0.9762,0.9865
40,Men,0.9759,0.9725,0.9696,0.9783
41,Men,0.9679,0.9658,0.9623,0.9701
42,Men,0.9599,0.9584,0.9545,0.9619
43,Men,0.9519,0.9506,0.9467,0.9537
44,Men,0.9439,0.9428,0.9389,0.9455
45,Men,0.9358,0.935,0.9311,0.9373
46,Men,0.9278,0.9273,0.9234,0.9291
47,Men,0.9198,0.9195,0.9156,0.9209
48,Men,0.9118,0.9117,0.9078,0.9127
49,Men,0.9038,0.9039,0.9,0.9045
50,Men,0.8957,0.8961,0.8922,0.8963
51,Men,0.8877,0.8884,0.8845,0.8881
52,Men,0.8797,0.8806,0.8767,0.8799
53,Men,0.8717,0.8728,0.8689,0.8717
54,Men,0.8637,0.865,0.8611,0.8635
55,Men,0.8556,0.8572,0.8533,0.8553
56,Men,0.8476,0.8495,0.8456,0.8471
57,Men,0.8396,0.8417,0.8378,0.8389
58,Men,0.8316,0.8339,0.83,0.8307
59,Men,0.8236,0.8261,0.8222,0.8225
60,Men,0.8155,0.8183,0.8144,0.8143
61,Men,0.8075,0.8106,0.8067,0.8061
62,Men,0.7995,0.8028,0.7989,0.7979
63,Men,0.7915,0.795,0.7911,0.7897
64,Men,0.7835,0.7872,0.7833,0.7815
65,Men,0.7754,0.7794,0.7755,0.7733
66,Men,0.7674,0.7717,0.7678,0.7651
67,Men,0.7594,0.7639,0.76,0.7569
68,Men,0.7514,0.7561,0.7522,0.7487
69,Men,0.7434,0.7483,0.7444,0.7405
70,Men,0.7353,0.7405,0.7366,0.7323
71,Men,0.7272,0.7324,0.7286,0.7241
72,Men,0.7185,0.7236,0.7198,0.7155
73,Men,0.7091,0.714,0.7104,0.7063
74,Men,0.699,0.7038,0.7002,0.6963
75,Men,0.6882,0.6929,0.6893,0.6857
76,Men,0.6766,0.6813,0.6778,0.6743
77,Men,0.6644,0.6689,0.6655,0.6623
78,Men,0.6515,0.6559,0.6526,0.6495
79,Men,0.6379,0.6422,0.6389,0.6361
20,Women,0.9993,1,0.9936,0.9553
21,Women,1,1,0.9984,0.9689
22,Women,1,1,1,0.9801
23,Women,1,1,1,0.9888
24,Women,1,1,1,0.995
25,Women,1,1,1,0.9988
26,Women,1,1,1,1
27,Women,1,1,1,1
28,Women,1,1,1,0.9998
29,Women,1,1,1,0.9992
30,Women,0.9996,1,1,0.9983
31,Women,0.9983,0.9998,1,0.997
32,Women,0.9962,0.9989,0.9999,0.9953
33,Women,0.9933,0.9974,0.9993,0.9932
34,Women,0.9895,0.9953,0.9981,0.9907
35,Women,0.9849,0.9926,0.9961,0.9879
36,Women,0.9795,0.9893,0.9935,0.9847
37,Women,0.9732,0.9854,0.9902,0.9811
38,Women,0.966,0.9808,0.9862,0.9771
39,Women,0.9581,0.9757,0.9815,0.9727
40,Women,0.9493,0.9699,0.9762,0.968
41,Women,0.9396,0.9635,0.9702,0.9629
42,Women,0.9292,0.9565,0.9635,0.9574
43,Women,0.9183,0.9489,0.9562,0.9515
44,Women,0.9074,0.9406,0.9482,0.9453
45,Women,0.8965,0.9318,0.9395,0.9386
46,Women,0.8856,0.9223,0.9301,0.9316
47,Women,0.8747,0.9122,0.92,0.9242
48,Women,0.8638,0.9016,0.9093,0.9165
49,Women,0.8529,0.8906,0.8982,0.9083
50,Women,0.842,0.8796,0.8872,0.8998
51,Women,0.8311,0.8686,0.8761,0.8909
52,Women,0.8202,0.8576,0.8651,0.8816
53,Women,0.8093,0.8466,0.854,0.872
54,Women,0.7984,0.8356,0.8429,0.8619
55,Women,0.7875,0.8246,0.8319,0.8515
56,Women,0.7766,0.8136,0.8208,0.8407
57,Women,0.7657,0.8026,0.8098,0.8297
58,Women,0.7548,0.7916,0.7987,0.8186
59,Women,0.7439,0.7806,0.7876,0.8076
60,Women,0.733,0.7696,0.7766,0.7965
61,Women,0.7221,0.7586,0.7655,0.7854
62,Women,0.7112,0.7476,0.7545,0.7744
63,Women,0.7003,0.7366,0.7434,0.7633
64,Women,0.6894,0.7256,0.7323,0.7523
65,Women,0.6785,0.7146,0.7213,0.7412
66,Women,0.6676,0.7036,0.7102,0.7301
67,Women,0.6567,0.6926,0.6992,0.7191
68,Women,0.6458,0.6816,0.6881,0.708
69,Women,0.6349,0.6706,0.677,0.697
70,Women,0.624,0.6596,0.666,0.6859
71,Women,0.6131,0.6486,0.6549,0.6748
72,Women,0.6022,0.6376,0.6439,0.6638
73,Women,0.5913,0.6266,0.6328,0.6527
74,Women,0.5803,0.6156,0.6217,0.6413
75,Women,0.5686,0.6042,0.6103,0.629
76,Women,0.5561,0.592,0.598,0.6159
77,Women,0.5429,0.579,0.585,0.6021
78,Women,0.5289,0.5652,0.5711,0.5874
79,Women,0.5141,0.5506,0.5564,0.572